Country,seller_name,address,phone_No,join_date,rating,information,seller_id,seller_url,seller_image_url,collection_by_User
AUS,Bookies books,"Boyanup, WA, Australia", +61 0456 936 202,21:10:2021,4,"AbeBooks' uniqueness is our network of independent booksellers who work with us to provide the most diverse selection of rare, used and out-of-print books on the Internet. It is these sellers, with their experience, commitment and love of the used and out-of-print book business who help all our buyers find that treasure they've been looking for.",83321460,https://www.abebooks.com/bookies-books-boyanup/83321460/sf,,{}
AUS,C.P. Collins Booksellers,"C.P.Collins BooksellersP.O. Box 239
          
          Leichhardt, NSW, Australia
          2040",,22:03:2007,5,"Welcome, happy browsing !  
It will be a pleasure to help you. Our customers have been appreciating this for more than 40 years.
",5544896,https://www.abebooks.com/c.p-collins-booksellers-leichhardt/5544896/sf,/images/bookseller-homepages/4.jpg,"{'16th-19th Century_C.P. Collins Booksellers': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/6BUMVhg9lER820PjHCuc68.png', 'Aboriginal Interest_C.P. Collins Booksellers': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/2ka0MnGUeU4JlJYrQKQZT7.png', 'Animals_C.P. Collins Booksellers': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/1ASqHSuVd6dj88GVug5eKn.png', 'Antiques, Collecting, Restoration_C.P. Collins Booksellers': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/4qTOWzvAVqkucDssQnecwY.png', 'Archaeology and Ancient History_C.P. Collins Booksellers': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/1FZhz49PHVBcVLd1Irl61W.png', 'Architecture_C.P. Collins Booksellers': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/1QMw6ggq3PlJdUjBuMpzN2.png'}"
AUS,Flinders Books,"29 Beatrice StPreston, VIC, Australia
          3072",,09:01:2013,4,"Flinders Books has 3 locations in Melbourne, Australia: 248 Flinders St, Melbourne; Basement 119 Swanston St, Melbourne (now also Kill City!) and 759 Glenferrie Rd, Hawthorn. All stores open 7 days, so please stop by for a visit!

AS INTERNET LISTED BOOKS ARE STORED OFFSITE, PLEASE PLACE ORDERS/INQUIRIES BY EMAIL. PLEASE MAKE ANY PHONE INQUIRIES ON 0421 982 088.
",16076,https://www.abebooks.com/flinders-books-preston/16076/sf,/images/bookseller-homepages/9.jpg,{}
AUS,Dales Books,"Croydon, VIC, Australia",,19:08:2010,4,"AbeBooks' uniqueness is our network of independent booksellers who work with us to provide the most diverse selection of rare, used and out-of-print books on the Internet. It is these sellers, with their experience, commitment and love of the used and out-of-print book business who help all our buyers find that treasure they've been looking for.",53911989,https://www.abebooks.com/dales-books-croydon/53911989/sf,,{}
AUS,Furbie's Books and Goods,"Ferntree Gully, VIC, Australia",,29:11:2022,5,"AbeBooks' uniqueness is our network of independent booksellers who work with us to provide the most diverse selection of rare, used and out-of-print books on the Internet. It is these sellers, with their experience, commitment and love of the used and out-of-print book business who help all our buyers find that treasure they've been looking for.",84537077,https://www.abebooks.com/furbies-books-and-goods-ferntree-gully/84537077/sf,,{}
AUS,Gertrude & Alice Cafe Bookstore,"Bondi Beach, NSW, Australia",,28:09:2020,4,"AbeBooks' uniqueness is our network of independent booksellers who work with us to provide the most diverse selection of rare, used and out-of-print books on the Internet. It is these sellers, with their experience, commitment and love of the used and out-of-print book business who help all our buyers find that treasure they've been looking for.",54965084,https://www.abebooks.com/gertrude-alice-cafe-bookstore-bondi-beach/54965084/sf,,{}
AUS,Fullers Bookshop,"Hobart, TAS, Australia", +61 (03) 6234 3800,02:06:2021,4,"AbeBooks' uniqueness is our network of independent booksellers who work with us to provide the most diverse selection of rare, used and out-of-print books on the Internet. It is these sellers, with their experience, commitment and love of the used and out-of-print book business who help all our buyers find that treasure they've been looking for.",939807,https://www.abebooks.com/fullers-bookshop-hobart/939807/sf,,{}
AUS,FiSHWiSHING,"Asquith, NSW, Australia", +61 (0)404045230,01:09:2010,5,"AbeBooks' uniqueness is our network of independent booksellers who work with us to provide the most diverse selection of rare, used and out-of-print books on the Internet. It is these sellers, with their experience, commitment and love of the used and out-of-print book business who help all our buyers find that treasure they've been looking for.",2346420,https://www.abebooks.com/fishwishing-asquith/2346420/sf,,"{'Janet Frame_FiSHWiSHING': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/3tt76RMOy5mkMIfUaPZ9II.png', 'Modern First Editions_FiSHWiSHING': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/5wGB0E4PCbHQIGDAsqrRoX.png'}"
AUS,Fine Print Books (ABA),"PO Box 90Erskineville, Sydney, NSW, Australia
          2043", +61 2 9550 6859,06:07:1998,5,"Fine Print Books was a real 'bricks-and-mortar' bookshop located in King St, Newtown, for more than twenty years. We are now an internet-only shop at fineprintbooks.com.au",42376,https://www.abebooks.com/fine-print-books-aba-erskineville%2c-sydney/42376/sf,https://pictures.abebooks.com/storefront/42376/VendorStoreFront.jpg,"{'Ancient History, Archaeology and Anthropology_Fine Print Books (ABA)': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/2Rd9hQpP0bJZr3uAxr59Yn.png', 'Antiques, Craft, Hobbies and Pets_Fine Print Books (ABA)': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/7CVGtsY8WNQ0yfWJjSSvao.png', 'Architecture, Building and Urban Planning_Fine Print Books (ABA)': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/7aZATajvOTGPtCgwtVuICx.png', 'Art, Photography, Design and Fashion_Fine Print Books (ABA)': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/29ElvQG32ngxBPOLZTThBa.png', 'Australian Aborigines_Fine Print Books (ABA)': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/25BHxLPoTee3LkQPRMtvHC.png', 'Australian Colonial History_Fine Print Books (ABA)': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/3xCDT9z4IX4KBZaRgmXe2.png'}"
AUS,ex libris librorum,"Stirling, SA, Australia",,18:01:2023,1,"Ex libris librorum is an online bookstore in the Adelaide Hills, specializing in books about books. Subject areas include: bibliography and bibliographies; catalogues; the history of the book, and of the production, distribution and reception of books; palaeography and codicology, calligraphy, lettering, engraving, and printing; publishing, private press, and bookselling; typefounding, papermaking, bookbinding; provenance research; the history of collecting and of libraries; and texts and their transmission. We sell the odd art book. The odd rare book. etc.
",60019802,https://www.abebooks.com/ex-libris-librorum-stirling/60019802/sf,https://pictures.abebooks.com/storefront/60019802/VendorStoreFront.jpg,{}
AUS,Helen Boomsma of babyboomerbooks,"Cape Douglas, SA, Australia",,26:09:2002,5,"Situated on the Limestone Coast of South Australia, 
babyboomerbooks is run by a book-lover (Helen) 
who assures you of fast personal service


Selling secondhand books
and secondhand children's books, 
children s and adult nostalgic fiction,
non-fiction,
Australiana,
books of interest to babyboomers, their children and grandchildren

A site for the books you loved as a child.",1487458,https://www.abebooks.com/helen-boomsma-of-babyboomerbooks-cape-douglas/1487458/sf,https://pictures.abebooks.com/storefront/1487458/VendorStoreFront.jpg,"{'Adult Fiction_Helen Boomsma of babyboomerbooks': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/26dcOz1iWKshMhzRZUtojh.png', 'Adult Historical Fiction_Helen Boomsma of babyboomerbooks': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/6VEti2szsNxB46Ww6IIn8S.png', 'Adult Non-Fiction_Helen Boomsma of babyboomerbooks': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/7mSVgH03VPuQxATkw0VGhK.png', 'Australian_Helen Boomsma of babyboomerbooks': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/3jtstrJbjB2lfhlFD2jsEV.png', 'Australiana non-fiction_Helen Boomsma of babyboomerbooks': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/4YAzNMKOOJqKzZos9i9EAK.png', 'Biography_Helen Boomsma of babyboomerbooks': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/7lSbynQNmVuHmVWxcfz1g4.png'}"
AUS,Haymes & Co. Bookdealers,"PO Box 1742Kingscliff, NSW, Australia
          2487", +61 1300 431 736,16:12:2022,4,"Haymes & Co. is directed by a sixth generation antiquarian bookseller. Our family began trading books in Rotterdam, Holland, in the year 1812. We assure you of our services at all times.",8637,https://www.abebooks.com/haymes-co-bookdealers-kingscliff/8637/sf,https://pictures.abebooks.com/storefront/8637/VendorStoreFront.jpg,{}
AUS,Hill End Books,"Brisbane, QLD, Australia", +61 61458404943,10:04:2013,4,"AbeBooks' uniqueness is our network of independent booksellers who work with us to provide the most diverse selection of rare, used and out-of-print books on the Internet. It is these sellers, with their experience, commitment and love of the used and out-of-print book business who help all our buyers find that treasure they've been looking for.",59036024,https://www.abebooks.com/hill-end-books-brisbane/59036024/sf,,{}
AUS,Heath Hill Books Etc.,"Stowport, TAS, Australia",,24:04:2012,5,"If you are ordering a book to be posted overseas from Australia, please be aware that the cheaper rate means that your book will go by Sea Mail.  This is much slower than air mail, and can take up to 3 months to North America, for instance. It is also important to note that Sea Mail items cannot be tracked.  So please take this into acccount when choosing your shipping option. ",57766980,https://www.abebooks.com/heath-hill-books-etc-stowport/57766980/sf,,"{'Aboriginal_Heath Hill Books Etc.': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/1aa1uEKNNKcbJUr3ZO76ue.png', 'Architecture_Heath Hill Books Etc.': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/5fPK2Ag2FzD1ZJVG7Tktym.png', 'art_Heath Hill Books Etc.': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/6rGpH1z1R0E4s9NM8omaQ8.png', 'Australian_Heath Hill Books Etc.': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/6KwWBOT4M5AU83c3cihvf5.png', 'Biography_Heath Hill Books Etc.': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/2DvNGEQankVzAeZwlj7TZP.png', ""Children's_Heath Hill Books Etc."": 'https://d18d761r9motu7.cloudfront.net/cc-sprites/4Z2Thc7lct6kT9RPRUygL4.png'}"
AUS,Harehole Melbourne,"Pascoe Vale, VIC, Australia",,01:03:2022,2,"Harehole Melbourne is a direct spin-off of the 30-year queer and intersectional bookshop Hares & Hyenas. The books we have on sale here include the book collections that the two original owners gathered over the past 50 years, key parts of Harehole's large collection and several donated collections. Harehole Melbourne has extensive experience packaging and sending books and it maintains long ongoing relationships with its customers and stakeholders.",84180706,https://www.abebooks.com/harehole-melbourne-pascoe-vale/84180706/sf,https://pictures.abebooks.com/storefront/84180706/VendorStoreFront.jpg,{}
AUS,Lectioz Books,"PO Box 57Gloucester, NSW, Australia
          2422", +61 (0) 409 546 547,15:08:2005,5,"Member of Australian Booksellers Association. Rare, secondhand and out-of-print non-fiction. Condition of all books is accurately described. We have been buying and selling books for fifteen years and have a website www.lectioz.com. ",50379531,https://www.abebooks.com/lectioz-books-gloucester/50379531/sf,/images/bookseller-homepages/10.jpg,"{'Anthropology & Sociology_Lectioz Books': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/7H4sMk7AbTYkJXsL3MO7NH.png', 'Antiques & Collectibles_Lectioz Books': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/4LNBCVcTMUJguskovNZ72T.png', 'Architecture & Building_Lectioz Books': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/6BwmkbG9nMT1dIG8yHNJQ3.png', 'Art Theory, History and Method_Lectioz Books': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/ARO0DDKC6cxaW0CSeO0Fa.png', 'Asian, Tribal and Oceanic Art_Lectioz Books': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/2X21yj0HhbWNp3vMqV7eZE.png', 'Australian & New Zealand Art_Lectioz Books': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/5qXXeVs7ZBIlqKpPt3UCRS.png'}"
AUS,Leura Books,"Po Box 1524Bowral, NSW, Australia
          2576", +61 2-48614502,09:05:2001,5,We have been selling books online exclusively for over 20 years. ,787907,https://www.abebooks.com/leura-books-bowral/787907/sf,https://pictures.abebooks.com/storefront/787907/VendorStoreFront.jpg,"{'Alternative Health (Alternative Medicine)_Leura Books': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/4y4SKWZmxtuEVI93DlpBBy.png', 'Animals & Nature_Leura Books': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/1DIPQUcPUgAwSncKwjbzav.png', 'Animals & Nature (Birds / Ornithology)_Leura Books': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/1W1Jxp01bWEYMWp5YU0wNa.png', 'Animals & Nature (Cats)_Leura Books': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/6ag4mFoSrpPJe5Ma53oQG7.png', 'Animals & Nature (Dogs)_Leura Books': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/2wmhp6jciJt40AedsXzi5s.png', 'Animals & Nature (Horses)_Leura Books': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/7SjoSAW3ddPYtwYDDGBXpa.png'}"
AUS,Non Fiction Books,"Banora Point, NSW, Australia", +61 478042549,31:05:2016,4,"AbeBooks' uniqueness is our network of independent booksellers who work with us to provide the most diverse selection of rare, used and out-of-print books on the Internet. It is these sellers, with their experience, commitment and love of the used and out-of-print book business who help all our buyers find that treasure they've been looking for.",63566487,https://www.abebooks.com/non-fiction-books-banora-point/63566487/sf,,{}
AUS,Nature Consulting Australia,"PERTH, WA, Australia", +61 0408279604,25:04:2023,4,"AbeBooks' uniqueness is our network of independent booksellers who work with us to provide the most diverse selection of rare, used and out-of-print books on the Internet. It is these sellers, with their experience, commitment and love of the used and out-of-print book business who help all our buyers find that treasure they've been looking for.",61950669,https://www.abebooks.com/nature-consulting-australia-perth/61950669/sf,,{}
AUS,Nanny's Web,"26 Poplar stCaulfield South, VIC, Australia
          3162", +61 423779268,07:01:2013,3,"Nanny's Web is a Second Hand and Out of Print Children's Bookshop. We are located in Melbourne (Caulfield South), Australia, and have heaps of Australian books and others!

Come and visit!
",52462176,https://www.abebooks.com/nannys-web-caulfield-south/52462176/sf,/images/bookseller-homepages/VendorStoreFront.jpg,{}
AUS,Muir Books -Robert Muir Old & Rare Books - ANZAAB/ILAB,"17 Lindsay StreetPERTH, WA, Australia
          6000", +61 (08) 9228 2111,16:03:2012,5,"Robert Muir Old & Rare Books.  Perth, Western Australia.
(Also known as Muir Books). Established in 1973, the bookshop is owned by Janet Muir and Rob Muir and managed by Tara Surry.   The Bookshop is located in Perth Western Australia and is housed in an old horse stable with a large stock of over 60,000 second-hand, antiquarian and out of print books as well as maps, photographs, postcards, ephemera & manuscripts. * We offer a FREE world-wide search service. We provide bookbinding, conservation and restoration services. 

* We specilise in Australiana, Voyages, Travel & Exploration, Natural History, Ancient History, Antarctica, Militaria, Law, Medicine, General & Childrens literature, Modern Firsts and Esoterica.

* We value for disposal, probate and insurance. 

* We buy and sell books. 

",708,https://www.abebooks.com/muir-books--robert-muir-books-anzaab/ilab/708/sf,https://pictures.abebooks.com/storefront/708/VendorStoreFront.jpg,{}
AUS,N & A Smiles,"120 Massingham Street(Great Eastern Highway)
          
          Kellerberrin, WA, Australia
          6410", +61 0890455614,07:04:1998,4,"We are located on the Great Eastern Highway in the Central Wheatbelt town of Kellerberrin in Western Australia, 2-1/2 hours drive from Perth. We are directly opposite East Crossing Road, nestled in between the Tyre Service and the TAFE College. Public Transport is available via the Prospector & Avon Link passenger train services, or via the Goldfields Express bus service. We specialise in Collectible Paperbacks with an emphasis on Science Fiction and Crime Novels, but we also carry an extensive range of Mythology, Icelandic Sagas, Middle English Texts, Australian Exploration, Aboriginal Studies, Tolkien, Gor Books, Proto Science Fiction, Early SF Pulp Magazines and much more. Drop in for a browse and cup of coffee.",14793,https://www.abebooks.com/n-a-smiles-kellerberrin/14793/sf,/images/bookseller-homepages/4.jpg,"{'Adventure Stories_N & A Smiles': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/5OT0UIbg3ib0dTfAPT3VLm.png', 'Americana_N & A Smiles': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/3Fx7Wqi7i8yQhhpaqz3iwd.png', 'Australian Aboriginals_N & A Smiles': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/1UtCaTrCNfzoNEV0yzdY7z.png', 'Australian Exploration_N & A Smiles': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/40SAp4wSREnOop23fjxaMr.png', 'Australiana_N & A Smiles': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/v5onRS4q0NVpvag22Ludh.png', 'Biography_N & A Smiles': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/2FvmBgQpsqOQKdj29UvKIa.png'}"
AUS,MyBookshop,"ballarat North, VIC, Australia",,02:09:2019,5,"AbeBooks' uniqueness is our network of independent booksellers who work with us to provide the most diverse selection of rare, used and out-of-print books on the Internet. It is these sellers, with their experience, commitment and love of the used and out-of-print book business who help all our buyers find that treasure they've been looking for.",59554950,https://www.abebooks.com/mybookshop-ballarat-north/59554950/sf,,{}
AUS,Rare Aviation Books,"Millers Point, NSW, Australia", +61 (02) 9029 7886,24:01:2019,5,"AbeBooks' uniqueness is our network of independent booksellers who work with us to provide the most diverse selection of rare, used and out-of-print books on the Internet. It is these sellers, with their experience, commitment and love of the used and out-of-print book business who help all our buyers find that treasure they've been looking for.",71062724,https://www.abebooks.com/rare-aviation-books-millers-point/71062724/sf,,"{'Australia & New Zealand_Rare Aviation Books': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/520FNWPBNdnA6bQ9u7m3zH.png', 'History & Biography_Rare Aviation Books': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/6Kmol4JaRTLqqPJrx5zzvU.png', 'Juvenile & Fiction_Rare Aviation Books': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/dY2xgtmzUT1PZxR2duhHO.png', 'Lighter-than-Air & Ballooning_Rare Aviation Books': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/134TVCOVrj99aQsZ9hr6ta.png', 'Military & Unit Histories_Rare Aviation Books': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/2dNLTWufJFp0Zwmm2q0bvX.png', 'Non-Aviation_Rare Aviation Books': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/3cE8kF9SPsILUceTprAguZ.png'}"
AUS,Rankin and Maxwell,"Sydney, NSW, Australia",,02:07:2020,2,"AbeBooks' uniqueness is our network of independent booksellers who work with us to provide the most diverse selection of rare, used and out-of-print books on the Internet. It is these sellers, with their experience, commitment and love of the used and out-of-print book business who help all our buyers find that treasure they've been looking for.",73513199,https://www.abebooks.com/rankin-and-maxwell-sydney/73513199/sf,,{}
AUS,Rare Collections,"Brighton East, VIC, Australia",,04:04:2022,5,"Rare Collections is a company founded on the passion for books, the written word and the treasures contained within their pages. We specialize in rare collectable items, predominantly sourced from the USA and Europe. We have a wide area of interest, but have a particular focus in fine press books, modern first editions, speculative fiction (sci-fi, fantasy, horror and gothic literature), natural science, prints and related ephemera.  We have an extensive catalogue of available titles; some of which are not on our website.",84456709,https://www.abebooks.com/rare-collections-brighton-east/84456709/sf,https://pictures.abebooks.com/storefront/84456709/VendorStoreFront.jpg,"{'Ancient Classics_Rare Collections': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/5S1JmOGaczgA8oAfiM9H5m.png', 'Ash-Tree Press_Rare Collections': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/5ZBMfBDqHvidOANmEL52q0.png', 'Audubon Prints_Rare Collections': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/2BAGCFxWSEGlwcbpgQvZZP.png', 'Award Winning_Rare Collections': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/E7OtGUftSXvGC5iR5kf31.png', 'Bindings_Rare Collections': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/1MoYgOhjHF2GNXXbYXyJtD.png', 'Biography_Rare Collections': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/XPEkdhbwTZanxJ9KDVYqc.png'}"
